file,source,role,bytes,sha256
data/appendix/assumption_check/distances/query_0_distance_matrix.npy,others/output/individual_matrices/query_0_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,dc4e184144038124189ef08cbe0ce7ef62d9b8d51ae6d053ae393433c526d046
data/appendix/assumption_check/distances/query_10_distance_matrix.npy,others/output/individual_matrices/query_10_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,35db8d2c5a134e839565426dc862b5756989537d688c65d166da51900ed94532
data/appendix/assumption_check/distances/query_11_distance_matrix.npy,others/output/individual_matrices/query_11_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,298c035c291cae1aac3e3ad5ba61787402fdecbe35153981fadda131fb1d3596
data/appendix/assumption_check/distances/query_12_distance_matrix.npy,others/output/individual_matrices/query_12_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,9e690b6184e26c96b187c36c72453f7a92e01dad49fd548d8c8083885142e42b
data/appendix/assumption_check/distances/query_13_distance_matrix.npy,others/output/individual_matrices/query_13_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,08d6c15e339b68775281facee88d8cbd335c9644778d722420d0d2c81532a742
data/appendix/assumption_check/distances/query_14_distance_matrix.npy,others/output/individual_matrices/query_14_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,8fb384e3ad289cbccf26a4964915c1b0933a2e520d26c15e7be0bb0af0ca1f97
data/appendix/assumption_check/distances/query_15_distance_matrix.npy,others/output/individual_matrices/query_15_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,7827da86502cb08e83a8e0670adbcdb11b16334fdfe7a7e905d771c5973123f0
data/appendix/assumption_check/distances/query_16_distance_matrix.npy,others/output/individual_matrices/query_16_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,f62d290070af2cfdc9e54b423561733bc79fe8c3f95c605f551ccf25cad68aef
data/appendix/assumption_check/distances/query_17_distance_matrix.npy,others/output/individual_matrices/query_17_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,be8c6fe95d6747ce64f7eb3a0089bd5ccc82fd2bdf76af769212b3ad1edc52b0
data/appendix/assumption_check/distances/query_18_distance_matrix.npy,others/output/individual_matrices/query_18_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,1901c61a37f1a9de8e79fe0b193e1e378f87372a251321093ad0137764efd810
data/appendix/assumption_check/distances/query_19_distance_matrix.npy,others/output/individual_matrices/query_19_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,86c6bc315923cbc376a1af5aa7fdce55ac0975b993f793297f196c99d5924d81
data/appendix/assumption_check/distances/query_1_distance_matrix.npy,others/output/individual_matrices/query_1_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,97c79f95d468e79c91f1174addd36eff9894aa901c01062fc0df784fb4636776
data/appendix/assumption_check/distances/query_20_distance_matrix.npy,others/output/individual_matrices/query_20_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,c19cc39f3b3eef7851b0893b68c6ada1fccf74ec88d7a1805d3592ea8809c956
data/appendix/assumption_check/distances/query_21_distance_matrix.npy,others/output/individual_matrices/query_21_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,d2a14e09154fb647658104deab8d16ee5f296fb1821ab6dbdff628427ddb8179
data/appendix/assumption_check/distances/query_22_distance_matrix.npy,others/output/individual_matrices/query_22_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,5bea68b8d4fa8ad62aff31719b023f9363a980f33bd2a77b580fc3c9f4aab725
data/appendix/assumption_check/distances/query_23_distance_matrix.npy,others/output/individual_matrices/query_23_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,abbd1f71b7a071dc6c157235d57a9a980ec542519c1c4d6106dafa62f3368fcc
data/appendix/assumption_check/distances/query_24_distance_matrix.npy,others/output/individual_matrices/query_24_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,8cc030b5c0f79009f42faac74c0c7d3f7fc0fb61487dc38f6356219f457e1f04
data/appendix/assumption_check/distances/query_25_distance_matrix.npy,others/output/individual_matrices/query_25_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,ac46ea551d7824ef0e9823ce4b0c329911eed266419fa4d3613a04c5e0d85839
data/appendix/assumption_check/distances/query_26_distance_matrix.npy,others/output/individual_matrices/query_26_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,5b70edbac3097d643d770ec852e518a96835662578978a1c38ca21ff905ac63d
data/appendix/assumption_check/distances/query_27_distance_matrix.npy,others/output/individual_matrices/query_27_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,3eb26772ede3c078dab9547cc8e5be8901b260d8d0d60d34602ee500e3cfbc2f
data/appendix/assumption_check/distances/query_28_distance_matrix.npy,others/output/individual_matrices/query_28_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,29c2ba4f9021fda6d66942d2c1e88026f74d6daae1b058e1d2a042ac2213a29d
data/appendix/assumption_check/distances/query_29_distance_matrix.npy,others/output/individual_matrices/query_29_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,adacd7cf3c9ccc89abfa486df9024aac354940715c14afd5ca34302d4afbf265
data/appendix/assumption_check/distances/query_2_distance_matrix.npy,others/output/individual_matrices/query_2_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,3fad87a3f56d3431a056418ea4e9b42c8e681a1c44741ee662e9cd22f3d85ab2
data/appendix/assumption_check/distances/query_30_distance_matrix.npy,others/output/individual_matrices/query_30_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,9c00ee79f83c27072a29b249881149c815de1d6882727559371f4dd89f068e43
data/appendix/assumption_check/distances/query_31_distance_matrix.npy,others/output/individual_matrices/query_31_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,00339ca67b037f004d2495266c28078d910b2a8d3abaeea4cf7c2ab6330476c2
data/appendix/assumption_check/distances/query_32_distance_matrix.npy,others/output/individual_matrices/query_32_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,0c1445e924c262841947fde026fc69c6f1634f7675b0a6ea982164dda736cccd
data/appendix/assumption_check/distances/query_33_distance_matrix.npy,others/output/individual_matrices/query_33_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,ee6eb8949f3fbdcdd0b0cc66486fc7b24fb4e0663ef9592f82a20747cd23d669
data/appendix/assumption_check/distances/query_34_distance_matrix.npy,others/output/individual_matrices/query_34_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,f4c393f497cf3312226bec4405b9173c106fbccd01f3fce97fe64b0a522d0673
data/appendix/assumption_check/distances/query_35_distance_matrix.npy,others/output/individual_matrices/query_35_distance_matrix.npy,Small256-dimension model distances for assumption check only,640,d0376dd44cb6fb56b60ac959a94ccd6bf3b60b0df39b2d1a6a09f6faf84933db
