iterations,dataset_id,mae,mse,rmse,mape,unique_subsets,total_subsets
5,0,1.344419642857143,2.244502383708114,1.4981663404669436,93.09657206992748,7,7
5,1,1.675595238095238,4.112356859410431,2.0278946864693026,138.0855325944798,7,7
5,2,1.2075892857142858,1.913925205498866,1.3834468567671352,111.13746174500676,7,7
5,3,1.6956845238095237,5.323189041241496,2.307203727727895,159.9281949949369,7,7
5,4,2.127380952380951,6.705429421768702,2.5894843930343936,163.6314336030277,7,7
5,5,2.4803571428571427,10.193743268140588,3.192764204907808,232.40859505816235,7,7
5,6,1.0487351190476193,1.6380115425799957,1.2798482498249533,95.45721017075391,7,7
5,7,1.409523809523808,3.0155424461451172,1.7365317290925373,121.8743146645402,7,7
5,8,1.3154265873015878,2.5087057212931487,1.5838894283671283,112.3025771728245,7,7
5,9,1.0485615079365078,1.5044844255217518,1.2265742641690114,79.82528462689444,7,7
5,10,1.8468749999999998,5.2523014987244885,2.291790020644232,155.80784043044883,7,7
5,11,2.3284970238095237,7.845705339427437,2.8010186253267646,202.28190125663633,7,7
5,12,1.4962797619047616,2.974172847379691,1.7245790348313095,139.4225335610796,7,7
5,13,1.647619047619048,3.7252657312925193,1.9300947467138807,155.7724083084842,7,7
5,14,1.5157242063492062,3.5271571574231553,1.8780727242104218,124.62536187512781,7,7
5,15,2.443824404761904,8.427887170493198,2.903082356822348,229.91217947136641,7,7
5,16,0.9999999999999998,1.7715806451824547,1.3310073798377133,73.90167683917174,7,7
5,17,1.2408234126984132,1.7694054508377444,1.330190005539714,258.0669529621427,7,7
5,18,1.7941964285714294,5.5620771329365155,2.3584056336721457,178.02477423296537,7,7
5,19,0.7615740740740744,1.7503215020576146,1.3229971663074773,30.361562900008565,7,7
5,20,1.0339037698412703,1.4987645791341253,1.2242404090431442,88.18410751640627,7,7
5,21,1.3234374999999998,2.3689700944035015,1.5391458976989483,102.67101654473709,7,7
5,22,0.13472222222222197,0.044243827160493646,0.21034216686269458,29.692216529216864,7,7
5,23,1.1630208333333334,1.7447735083616782,1.3208987502309473,106.78544959120325,7,7
5,24,1.5953125,3.0204325219671206,1.7379391594549911,118.96227705994411,7,7
5,25,2.615426587301588,11.753837110654453,3.4283869546266876,218.62652600979402,7,7
5,26,1.3477678571428573,2.059657738095239,1.4351507719035095,127.68020921940754,7,7
5,27,0.24248511904761927,0.15549118953136837,0.3943237116017351,29.848157636750322,7,7
5,28,2.1651041666666666,8.427223373724493,2.902968028367604,175.29230898822445,7,7
5,29,1.2072172619047623,2.04771596080562,1.4309842629482759,105.01338150258496,7,7
5,30,1.2774305555555556,2.3667438271604944,1.538422512562948,383.2611191119673,7,7
5,31,1.810374149659864,4.454582928409458,2.110588289650414,259.43196878950636,7,7
