iterations,dataset_id,mae,mse,rmse,mape,unique_subsets,total_subsets
5,0,2.1975694444444445,8.809321332120817,2.9680500892203314,153.4794067606779,7,7
5,1,2.1062500000000006,7.964023526077103,2.8220601563533516,169.13350403587097,7,7
5,2,1.3072916666666665,2.4894534793083904,1.577800202594863,120.1984114496254,7,7
5,3,2.2756696428571423,6.82765332695578,2.612977865760784,259.2814451804802,7,7
5,4,1.9494047619047614,5.0866050170068,2.255350309155276,161.83443091639597,7,7
5,5,1.5369791666666668,4.373884172158448,2.091383315453781,129.88653459680629,7,7
5,6,1.0543898809523813,1.5511811854371391,1.245464244945289,97.65320243033023,7,7
5,7,1.030952380952379,1.6563627586451206,1.2869975752289204,95.71004463868204,7,7
5,8,1.1793154761904758,2.200621178882431,1.4834490819985804,96.52300715582129,7,7
5,9,1.2865410052910053,2.7434427588550854,1.6563341326118608,95.07617409482991,7,7
5,10,1.8293154761904775,4.929422034438781,2.2202301760040064,180.59287658537397,7,7
5,11,1.5308779761904763,2.824872006094105,1.6807355550752487,129.43021946765234,7,7
5,12,1.5153273809523813,2.7874912997606476,1.6695781801882317,139.69780409277485,7,7
5,13,1.4712797619047622,2.6010655824829945,1.6127819389126958,133.94569546708232,7,7
5,14,1.0450148809523805,1.4584443598041061,1.2076606973004074,81.82624846940122,7,7
5,15,1.3608630952380938,2.6328722895408103,1.6226127971702955,114.78034281889565,7,7
5,16,1.157093253968254,2.4581340512671117,1.567843758563688,202.47776279798893,7,7
5,17,1.0395833333333342,1.280787312610232,1.1317187427140332,103.10969193769117,7,7
5,18,1.8837797619047625,5.5452802579365095,2.3548418753573475,188.27772775911114,7,7
5,19,0.7974537037037039,2.3822659465020593,1.5434590848163288,31.364669294002866,7,7
5,20,1.5026124338624345,4.231521275562698,2.0570661816195166,137.05911696798023,7,7
5,21,1.2960565476190475,2.0352647372606447,1.4266270491129225,97.40777573040596,7,7
5,22,0.2597222222222222,0.1947398589065255,0.4412933932278224,38.74643348518647,7,7
5,23,1.366889880952381,3.2369431822208052,1.7991506835784503,130.6604331766031,7,7
5,24,1.3072172619047617,2.501347700538548,1.5815649529938844,95.77878626187722,7,7
5,25,1.4032242063492062,3.097931232678256,1.7600940976772397,116.28575783193864,7,7
