iterations,dataset_id,mae,mse,rmse,mape,unique_subsets
1,0,1.3957837301587301,4.10615912973986,2.0263659910637712,102.39798522059135,8
1,1,1.6696428571428572,5.427118764172336,2.3296177291934264,139.87929327578837,8
1,2,1.4322916666666665,4.768463895975058,2.1836812716088074,123.4542836367817,8
1,3,1.0725446428571428,2.696700946003401,1.6421634955154132,125.74834414181093,8
1,4,1.1741071428571421,3.395905612244894,1.842798310245832,81.14261183537188,8
1,5,1.3081845238095235,3.9970170776643976,1.9992541303357103,96.20382135114716,8
1,6,0.9610863095238089,1.351255590199042,1.1624351982794747,108.57633260380655,8
1,7,1.027678571428571,2.489723993764171,1.5778859254598132,92.01562210562368,8
1,8,1.0705357142857144,2.3587057212931457,1.535807839963433,90.8699588200385,8
1,9,1.2157076719576723,2.3352135921884196,1.5281405668944266,95.39635503583345,8
1,10,1.216741071428571,3.465582748724485,1.8616075710859379,107.95215088345861,8
1,11,1.1019345238095237,2.7995743870464858,1.6731928720403053,90.74541072317774,8
1,12,0.9825396825396824,2.014066200554293,1.419178001715885,88.24023774333398,8
1,13,1.564285714285714,5.732017963435372,2.394163311772063,113.26633094251126,8
1,14,1.1446180555555558,2.8399299748834723,1.6852091783762253,124.68365361726713,8
1,15,1.4207589285714282,4.711741337159859,2.1706545872523937,114.16502012107222,8
1,16,0.8643601190476191,1.4573941372459485,1.2072258020958417,78.51765952956518,8
1,17,1.053373015873015,2.2413527888007057,1.4971148215152723,111.14770116651252,8
1,18,1.2559523809523816,3.1832638888888907,1.7841703643119091,111.56807431662799,8
1,19,1.1307870370370372,3.8128215020576137,1.9526447454817821,40.11595047898203,8
1,20,1.2787615740740743,3.9600927041341243,1.9899981668670261,92.70599829314286,8
1,21,1.4252232142857144,3.923062356308264,1.9806721980954507,103.18867401301381,8
1,22,0.5345238095238095,0.7000970017636685,0.8367179941674904,155.42706342521026,8
1,23,1.3985119047619048,2.7302025758219957,1.6523324652811235,139.36240792252343,8
1,24,0.8581845238095238,1.3808863910147389,1.1751112249547866,66.24103998191522,8
1,25,1.5207837301587301,4.617899610654447,2.1489298756949813,115.87042314410492,8
1,26,1.1733630952380953,2.761294642857143,1.6617143686136746,105.32451507306679,8
1,27,1.1546874999999996,4.716503094293271,2.1717511584648164,50.92996935796024,8
1,28,1.2334077380952384,2.645787361819729,1.6265876434486182,99.73433144679112,8
1,29,1.1533482142857148,2.5335418536627623,1.5917103548267701,91.89576843517138,8
1,30,1.4768353174603175,5.0913966049382715,2.2564123304348147,133.46336038833132,8
1,31,1.51734693877551,5.432332361516034,2.330736441881843,141.33853501279577,8
1,32,1.572833994708994,6.7722526599374255,2.6023552140200663,87.28094197890864,8
1,33,0.7128472222222217,1.4616121720679014,1.2089715348460035,37.603207648250766,8
1,34,0.9565972222222223,1.4333028824955911,1.1972062823488654,72.80867665163284,8
1,35,1.1484375,3.22808381164966,1.7966868986135731,80.46817943659403,8
1,36,1.5568452380952387,3.6656527246315216,1.9145894402277273,154.24547488719,8
1,37,0.5173611111111132,0.7610435956790149,0.8723781265477802,47.58102087777235,8
1,38,1.1666666666666665,1.8453975340136046,1.3584540971315904,149.11227966195386,8
1,39,1.0853670634920638,2.1006974560657596,1.4493782998464408,71.79734270812972,8
1,40,1.7354910714285716,6.954876169217688,2.637209921340675,145.4015021226922,8
1,41,1.3573247354497353,3.3554917964485176,1.831800151885712,99.65639702826753,8
1,42,0.8399305555555556,1.6733031383849837,1.2935621896085954,64.45490670597292,8
