iterations,dataset_id,mae,mse,rmse,mape,unique_subsets
1,0,1.5810763888888886,5.942319844025572,2.437687396699087,108.53162041013664,8
1,1,1.6830357142857144,6.558071145124718,2.560873121637368,132.39073890878373,8
1,2,1.177083333333333,3.0080472293083913,1.7343722868255222,123.66354129185564,8
1,3,1.148065476190476,2.797891422193877,1.6726898762752995,131.2904316236329,8
1,4,1.1741071428571421,3.2589264455782274,1.8052496906462074,84.76028177236797,8
1,5,1.1577380952380951,1.9311688633786848,1.3896650184050416,98.84276982923,8
1,6,0.9954613095238102,1.3679966616276151,1.1696138942521224,101.42521353187736,8
1,7,0.8654761904761917,1.6784888747165554,1.2955650793057658,84.60892840512348,8
1,8,1.1503968253968246,2.4138024474836204,1.5536416728073499,97.85055341765407,8
1,9,1.1432705026455026,3.2815677588550844,1.8115098009271395,84.81194936063137,8
1,10,1.186755952380951,2.4582166772959133,1.5678701085536115,105.24083930383696,8
1,11,1.0145089285714286,1.740050577522676,1.3191097670484728,89.56462642320719,8
1,12,1.1292162698412687,3.021283462459053,1.738183955299051,89.87303313216705,8
1,13,1.2653273809523808,2.421303677721089,1.5560538800829131,135.03905904955786,8
1,14,1.3999751984126985,4.6265991217088684,2.1509530728746427,115.40655797202209,8
1,15,1.5230654761904765,4.937559789540814,2.2220620579859633,123.36674382518919,8
1,16,1.0252893518518515,1.7691666240184345,1.3301002308166232,225.12930864780705,8
1,17,1.0368055555555558,2.574016479276897,1.6043741705964034,106.38688250147781,8
1,18,1.2812500000000004,3.262802579365082,1.806322944372097,112.00514155053523,8
1,19,1.0057870370370368,3.062821502057611,1.7500918553200604,37.78335053486843,8
1,20,1.2787615740740743,3.928470680324601,1.9820370027637226,91.92761187363476,8
1,21,1.4252232142857144,3.3052052134511207,1.8180223357954437,107.16672785188099,8
1,22,0.09345238095238094,0.01874779541446209,0.1369225891314581,31.581982975736928,8
1,23,1.236235119047619,2.876110313917234,1.6959098778877473,121.65471482966419,8
1,24,0.917782738095238,2.015782224348072,1.4197824566982338,62.0286519576569,8
1,25,1.7638144841269843,7.2640305630354,2.695186554403127,116.11220783321016,8
1,26,1.4502976190476193,3.2691815476190484,1.808087815239915,134.76341762827892,8
1,27,1.1178323412698414,3.856074026832957,1.9636888823927678,67.69532995327174,8
1,28,1.0893601190476199,2.5005120642006826,1.5813007507114776,88.05901133324684,8
1,29,1.292807539682539,2.714419829853236,1.6475496441240354,103.60713810995664,8
1,30,1.2750496031746033,3.880682319223987,1.9699447502973242,125.03630156196657,8
1,31,1.4510204081632652,4.098658892128279,2.024514483062119,133.5072810353801,8
1,32,1.1713458994708996,3.627965292212566,1.9047218411654143,77.38909898723007,8
1,33,0.75625,1.5286260609567905,1.2363761810051141,40.478637549700366,8
1,34,0.9334325396825398,2.0703440531305106,1.438869018754143,66.57795985220683,8
